"","ID","Species","Date.collected","Date.intestine.dissected","Date.fish.dissected","island","fishingstatus","Station","sitechla","chla","latitude","depth","Habitat","TL","TL..mm.","FL..mm.","SL..mm.","TWW..g.","Intestine.weight..g.","Gonads","Gonad.voucher","TREM.ALL","CEST.ALL","COP.ALL","ISO.ALL","NEM.ALL"
"56","2628","ACANIG","8-Nov-10","17-Jan-12","23-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",145,145,139,114,69.91,7.88,"?",NA,52,1,0,0,2
"57","2630","ACANIG","8-Nov-10","31-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",201,201,199,168,218,36.7,"F3",9492,108,0,1,0,1
"58","2632","ACANIG","8-Nov-10","20-Jan-12","20-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",158,158,152,127,87.63,8.56,"?",NA,38,1,0,0,2
"59","2633","ACANIG","8-Nov-10","20-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,155,130,103.33,9.11,"M",9720,141,0,0,0,0
"60","2634","ACANIG","8-Nov-10","27-Jan-12","13-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",181,181,175,151,174.85,25.8,"?",12098,102,0,0,0,1
"61","2636","ACANIG","8-Nov-10","14-Mar-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,0.71,"F1",9748,18,0,0,0,0
"62","2636","ACANIG","8-Nov-10","14-Mar-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,0.71,"F1",9748,18,0,0,0,0
"63","2636","ACANIG","8-Nov-10","21-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,17.02,"?",NA,39,0,0,0,0
"64","2636","ACANIG","8-Nov-10","21-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,17.02,"?",NA,39,0,0,0,0
"65","2637","ACANIG","8-Nov-10","31-Jan-12","16-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",200,200,191,159,185,27.16,"?",NA,86,0,0,0,0
