fish_id,fish_species,date_collected,island,fishing_status,station,fish_depth,fish_habitat,total_length_mm,fork_length_mm,standard_length_mm,total_wet_weight_grams,trematodes_count,cestodes_count,copepods_count,isopods_count,nematodes_count,monogenians_count,gnathopods_count
150,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,123,,102,39.97,110,0,0,0,1,0,1
151,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,170,,140,80,301,0,0,0,55,0,0
152,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,132,,112,38.69,54,0,0,0,18,0,0
153,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,154,,130,58.31,321,0,0,0,16,0,0
154,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,145,,116,45.32,124,0,0,0,8,0,0
155,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,148,,124,53.71,29,0,0,0,21,0,0
156,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,118,,100,30.8,51,0,0,0,0,0,0
157,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,130,,107,34.17,12,0,0,0,6,0,0
158,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,208,,164,121.61,530,0,1,0,0,7,0
159,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F3,25,forereef,200,,164,138.87,128,0,2,0,0,1,0
160,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F3,25,forereef,215,,179,157.21,430,0,4,0,6,0,0
161,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F3,25,forereef,195,,165,135.61,78,0,4,0,0,2,0
162,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F3,25,forereef,185,,155,111.11,9,0,1,0,0,0,0
163,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F3,25,forereef,210,,176,122.67,333,0,1,0,7,1,0
164,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F3,25,forereef,214,,175,176.66,280,0,4,0,11,5,0
165,CEPURO,10/31/10,Kingman,Unfished,KIN-2010-F2,35,backreef,172.3,,137.7,90.99,163,0,1,0,10,0,0
166,CEPURO,11/03/10,Kingman,Unfished,KIN-2010-F4,60,backreef,199.2,,162.3,149.49,138,0,0,0,11,0,0
167,CEPURO,11/03/10,Kingman,Unfished,KIN-2010-F4,60,backreef,188.9,,153.9,140.2,99,0,7,0,23,0,0
168,CEPURO,11/03/10,Kingman,Unfished,KIN-2010-F4,60,backreef,230,,188.2,178.14,130,0,12,0,5,0,0
169,CEPURO,11/03/10,Kingman,Unfished,KIN-2010-F4,60,backreef,185.4,,156.3,106.2,40,0,0,0,14,0,0
170,CEPURO,11/02/10,Kingman,Unfished,KIN-2010-F4,60,backreef,175.2,,146.9,91,92,0,1,0,14,0,0
171,CEPURO,11/02/10,Kingman,Unfished,KIN-2010-F4,60,backreef,198.2,,159.5,134.21,47,0,7,0,4,0,0
172,CEPURO,11/02/10,Kingman,Unfished,KIN-2010-F4,60,backreef,206.4,,165.7,153.61,60,0,4,0,11,0,0
173,CEPURO,11/02/10,Kingman,Unfished,KIN-2010-F4,60,backreef,201.9,,165.8,130.53,9,0,4,0,6,0,0
174,CEPURO,11/02/10,Kingman,Unfished,KIN-2010-F5,60,forereef,194.2,,160.8,124.76,3,0,0,0,0,0,0
175,CEPURO,11/02/10,Kingman,Unfished,KIN-2010-F5,60,forereef,152.1,,127.9,57.79,17,0,2,0,0,0,2
176,CEPURO,11/19/10,Kiritimati,Fished,KIR-2010-F1,35,forereef,196,,158,109.67,12,0,55,0,0,0,0
177,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit,15,backreef,177.2,,146.3,82.61,90,0,2,0,1,1,0
178,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit,15,backreef,170.9,,138,88.83,37,0,0,0,0,0,0
179,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit,15,backreef,182.4,,149.6,107.51,46,0,5,0,7,0,0
180,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,150.9,,125.8,52.53,36,0,7,0,2,0,0
181,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,159.1,,131.5,64.1,61,0,5,0,1,0,0
182,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,159.8,,137.3,71.54,28,0,14,0,1,0,0
183,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,177.4,,153.7,82.08,1047,0,1,0,32,0,0
184,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,170.3,,167.7,78.78,426,0,6,0,29,0,0
185,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,177.2,,150,84.44,790,0,0,0,18,0,0
186,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,177.2,,150.5,93.41,605,0,4,0,109,0,0
187,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,161.3,,135.5,77.74,432,0,2,0,19,0,0
188,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,177.8,,156.4,89.31,40,0,14,0,2,0,0
189,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,193.6,,162.9,104.8,89,0,8,0,0,0,0
190,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,110,,96.9,21.43,7,0,2,0,1,0,0
191,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,181.3,,155.1,98.22,39,0,19,0,7,0,0
192,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,131.9,,110.1,44.21,28,0,5,0,0,0,0
193,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,165.1,,141.7,70.11,106,0,3,0,0,0,0
194,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,155.1,,136.5,52.69,35,0,2,0,4,0,0
195,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,152.7,,130,56.69,55,0,0,0,0,NA,NA
196,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,165.9,,144.8,71.08,15,0,13,0,1,0,0
197,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,172.4,,148.1,78.25,16,0,2,0,1,0,0
198,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,144.3,,126.6,51.79,12,0,3,0,0,0,0
199,CEPURO,10/26/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,175.1,,154.2,92.72,28,0,12,0,3,1,0
200,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,178.3,,154.9,103.26,26,0,10,0,4,0,0
201,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,150.6,,127.8,56.38,17,0,10,0,22,0,0
202,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,176.5,,151.7,85.9,89,0,2,0,0,0,0
203,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,171.2,,145.4,81.97,45,0,31,0,1,0,0
204,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,144.6,,119.2,54.57,19,0,3,0,0,0,0
205,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,163.2,,138.5,71.22,33,0,15,0,0,0,0
206,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,181.9,,154.5,106.57,66,0,3,0,1,0,0
207,CEPURO,10/25/10,Palmyra,Unfished,Penguin Spit Channel,15,backreef,186.8,,163.2,118.52,85,0,24,0,0,0,0
